Name,Algorithm,Time,Cost
kroB100,11,1.356942892074585,25288.83045397193
kroB100,12,1.3723905086517334,24045.083119911596
kroB100,13,1.3480498790740967,23977.38590861376
kroB100,14,1.3333837985992432,24235.214874233796
kroB100,15,1.3341927528381348,24429.455567344343
kroB100,16,1.3306419849395752,24967.27447619282
kroB100,17,1.3415658473968506,24106.388174444593
kroB100,18,1.3435602188110352,24955.00166078723
kroB100,19,1.3428235054016113,24118.301568583116
kroB100,20,1.3740689754486084,24421.976643013888
kroB100,21,1.4026927947998047,24948.533817247942
kroB100,22,1.3335306644439697,24717.690646610514
kroB100,23,1.3286519050598145,24227.894591092514
kroB100,24,1.3425352573394775,26095.321146684895
kroB100,25,1.35335373878479,25449.749469199818
kroB100,26,1.3337376117706299,25530.219469395808
kroB100,27,1.3379881381988525,24399.82302995496
kroB100,28,1.3381450176239014,24209.812008420726
kroB100,29,1.333162784576416,23784.840128366013
kroD100,0,1.3541760444641113,26650.400353313147
kroD100,1,1.3427424430847168,23989.66855037693
kroD100,2,1.342465877532959,24413.227037365003
kroD100,3,1.3512234687805176,22202.07884553062
kroD100,4,1.3498287200927734,23296.33118983361
kroD100,5,1.3524196147918701,23113.7538269707
kroD100,6,1.34269118309021,24396.25325825617
kroD100,7,1.3440649509429932,23065.760680974105
kroD100,8,1.3447632789611816,25113.96374572375
kroD100,9,1.342414140701294,22948.31737496742
kroD100,10,1.3466534614562988,23384.541749063857
kroD100,11,1.3589959144592285,23171.66949227117
kroD100,12,1.33734130859375,23565.145780660703
kroD100,13,1.343569278717041,24289.487593114365
kroD100,14,1.3455331325531006,23023.316158056237
kroD100,15,1.3503501415252686,22353.967791571704
kroD100,16,1.3573100566864014,23941.58828696446
kroD100,17,1.3494131565093994,23661.328109507576
kroD100,18,1.3599889278411865,22566.719666546975
kroD100,19,1.3446102142333984,23318.25624385325
kroD100,20,1.3511595726013184,23479.16458862277
kroD100,21,1.3374316692352295,23437.74276646776
kroD100,22,1.3375401496887207,23373.662793986725
kroD100,23,1.3413364887237549,24837.054618910675
kroD100,24,1.3638861179351807,23496.14343522064
kroD100,25,1.3414192199707031,23309.473249396393
kroD100,26,1.3354930877685547,24687.732521499795
kroD100,27,1.335139513015747,24297.289556385207
kroD100,28,1.3403396606445312,23939.340835242285
kroD100,29,1.34104585647583,24098.57273351711
berlin52,0,1.1634881496429443,8293.7522728595
berlin52,1,1.13411283493042,7993.894932489166
berlin52,2,1.1303822994232178,8979.143793997264
berlin52,3,1.136530876159668,7800.275952255709
berlin52,4,1.1296014785766602,8020.08343731505
berlin52,5,1.1328990459442139,8085.7183731090845
berlin52,6,1.1290175914764404,8522.610847816102
berlin52,7,1.1766133308410645,8266.038985694913
berlin52,8,1.1524484157562256,8208.29939763396
berlin52,9,1.1359622478485107,8540.330970270013
berlin52,10,1.1792469024658203,8363.266273254569
berlin52,11,1.1553311347961426,8158.142357891101
berlin52,12,1.1241741180419922,8514.707417867001
berlin52,13,1.1476914882659912,7943.867717502514
berlin52,14,1.1607391834259033,7849.395176892106
berlin52,15,1.151247501373291,8169.282439297492
berlin52,16,1.134892463684082,8166.570153244838
berlin52,17,1.1443231105804443,7804.664243098517
berlin52,18,1.1379668712615967,8556.570224557152
berlin52,19,1.130174160003662,8341.017710847267
berlin52,20,1.138169288635254,7875.664815138284
berlin52,21,1.1364967823028564,8672.529271855468
berlin52,22,1.1274797916412354,8176.897113169433
berlin52,23,1.127586841583252,7598.4423409045385
berlin52,24,1.131047010421753,8190.530512356806
